,SO term,SO description,SO accession,Display term,IMPACT
15,stop_retained_variant,"A sequence variant where at least one base in the terminator codon is changed, but the terminator remains",SO:0001567,Stop retained variant,IMPACT: LOW<br>Assumed to be mostly harmless or unlikely to change protein behaviour.LOW
16,synonymous_variant,A sequence variant where there is no resulting change to the encoded amino acid,SO:0001819,Synonymous variant,IMPACT: LOW<br>Assumed to be mostly harmless or unlikely to change protein behaviour.LOW
17,coding_sequence_variant,A sequence variant that changes the coding sequence,SO:0001580,Coding sequence variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
18,mature_miRNA_variant,A transcript variant located with the sequence of the mature miRNA,SO:0001620,Mature miRNA variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
19,5_prime_UTR_variant,A UTR variant of the 5' UTR,SO:0001623,5 prime UTR variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
20,3_prime_UTR_variant,A UTR variant of the 3' UTR,SO:0001624,3 prime UTR variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
21,non_coding_transcript_exon_variant,A sequence variant that changes non-coding exon sequence in a non-coding transcript,SO:0001792,Non coding transcript exon variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
22,intron_variant,A transcript variant occurring within an intron,SO:0001627,Intron variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
23,NMD_transcript_variant,A variant in a transcript that is the target of NMD,SO:0001621,NMD transcript variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
24,non_coding_transcript_variant,A transcript variant of a non coding RNA gene,SO:0001619,Non coding transcript variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
25,upstream_gene_variant,A sequence variant located 5' of a gene,SO:0001631,Upstream gene variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
26,downstream_gene_variant,A sequence variant located 3' of a gene,SO:0001632,Downstream gene variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
27,TFBS_ablation,A feature ablation whereby the deleted region includes a transcription factor binding site,SO:0001895,TFBS ablation,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
28,TFBS_amplification,A feature amplification of a region containing a transcription factor binding site,SO:0001892,TFBS amplification,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
29,TF_binding_site_variant,A sequence variant located within a transcription factor binding site,SO:0001782,TF binding site variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
30,regulatory_region_ablation,A feature ablation whereby the deleted region includes a regulatory region,SO:0001894,Regulatory region ablation,IMPACT: MODERATE<br>A non-disruptive variant that might change protein effectiveness.MODERATE
31,regulatory_region_amplification,A feature amplification of a region containing a regulatory region,SO:0001891,Regulatory region amplification,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
32,feature_elongation,"A sequence variant that causes the extension of a genomic feature, with regard to the reference sequence",SO:0001907,Feature elongation,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
33,regulatory_region_variant,A sequence variant located within a regulatory region,SO:0001566,Regulatory region variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
34,feature_truncation,"A sequence variant that causes the reduction of a genomic feature, with regard to the reference sequence",SO:0001906,Feature truncation,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
35,intergenic_variant,"A sequence variant located in the intergenic region, between genes",SO:0001628,Intergenic variant,"IMPACT: MODIFIER<br>Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact.MODIFIER"
